event_time,symbol,price,quantity,trade_time
2026-04-12 12:23:43.364000,BTCUSDT,71671.05,0.00022,2026-04-12 12:23:43.364000
2026-04-12 12:23:43.364000,BTCUSDT,71671.05,0.00022,2026-04-12 12:23:43.364000
2026-04-12 12:23:43.365000,BTCUSDT,71671.05,0.00022,2026-04-12 12:23:43.364000
2026-04-12 12:23:43.365000,BTCUSDT,71671.05,0.00072,2026-04-12 12:23:43.365000
2026-04-12 12:23:43.366000,BTCUSDT,71671.05,0.00027,2026-04-12 12:23:43.366000
2026-04-12 12:23:43.368000,BTCUSDT,71671.05,0.00083,2026-04-12 12:23:43.368000
2026-04-12 12:23:43.369000,BTCUSDT,71671.05,0.00083,2026-04-12 12:23:43.369000
2026-04-12 12:23:43.369000,BTCUSDT,71671.05,0.00027,2026-04-12 12:23:43.369000
2026-04-12 12:23:43.371000,BTCUSDT,71671.05,0.00097,2026-04-12 12:23:43.371000
2026-04-12 12:23:43.372000,BTCUSDT,71671.05,0.00097,2026-04-12 12:23:43.372000
2026-04-12 12:23:43.376000,BTCUSDT,71671.05,0.00024,2026-04-12 12:23:43.375000
2026-04-12 12:23:43.376000,BTCUSDT,71671.05,0.00024,2026-04-12 12:23:43.375000
2026-04-12 12:23:43.442000,BTCUSDT,71671.05,0.00097,2026-04-12 12:23:43.442000
2026-04-12 12:23:43.442000,BTCUSDT,71671.05,0.00097,2026-04-12 12:23:43.442000
2026-04-12 12:23:43.690000,BTCUSDT,71671.04,0.00032,2026-04-12 12:23:43.690000
2026-04-12 12:23:44.680000,BTCUSDT,71671.05,0.00033,2026-04-12 12:23:44.680000
2026-04-12 12:23:45.550000,BTCUSDT,71671.05,0.00762,2026-04-12 12:23:45.550000
