event_time,symbol,price,quantity,trade_time
2026-04-12 12:19:13.780000,BTCUSDT,71646.9,0.00022,2026-04-12 12:19:13.780000
2026-04-12 12:19:14.160000,BTCUSDT,71646.91,0.00089,2026-04-12 12:19:14.160000
2026-04-12 12:19:14.402000,BTCUSDT,71646.91,0.00013,2026-04-12 12:19:14.402000
2026-04-12 12:19:14.694000,BTCUSDT,71646.91,0.00012,2026-04-12 12:19:14.694000
2026-04-12 12:19:17.506000,BTCUSDT,71646.91,0.00445,2026-04-12 12:19:17.506000
2026-04-12 12:19:17.506000,BTCUSDT,71646.91,0.00014,2026-04-12 12:19:17.506000
2026-04-12 12:19:17.506000,BTCUSDT,71646.91,0.017,2026-04-12 12:19:17.506000
2026-04-12 12:19:18.034000,BTCUSDT,71646.91,0.0003,2026-04-12 12:19:18.034000
2026-04-12 12:19:18.212000,BTCUSDT,71646.91,0.00031,2026-04-12 12:19:18.212000
2026-04-12 12:19:18.435000,BTCUSDT,71646.91,0.00092,2026-04-12 12:19:18.435000
2026-04-12 12:19:19.390000,BTCUSDT,71646.91,0.00019,2026-04-12 12:19:19.390000
