event_time,symbol,price,quantity,trade_time
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,7e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,7e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,0.00014,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,0.00014,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,7e-05,2026-04-12 11:00:18.587000
2026-04-12 11:00:18.587000,BTCUSDT,71683.76,0.01129,2026-04-12 11:00:18.587000
2026-04-12 11:00:19.050000,BTCUSDT,71683.75,0.0015,2026-04-12 11:00:19.050000
2026-04-12 11:00:19.299000,BTCUSDT,71683.75,0.00141,2026-04-12 11:00:19.298000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,0.00014,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,0.00014,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,7e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,7e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,7e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.76,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.77,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.77,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.77,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71683.77,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71684.38,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71684.38,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.300000,BTCUSDT,71684.38,8e-05,2026-04-12 11:00:19.299000
2026-04-12 11:00:19.428000,BTCUSDT,71684.38,0.00029,2026-04-12 11:00:19.428000
2026-04-12 11:00:21.484000,BTCUSDT,71684.39,7e-05,2026-04-12 11:00:21.484000
2026-04-12 11:00:21.484000,BTCUSDT,71684.39,0.1295,2026-04-12 11:00:21.484000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.02968,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.06602,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00014,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00014,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.2969,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00014,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.07858,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.066,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00014,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00014,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.1629,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00014,2026-04-12 11:00:21.723000
